date, pm25, pm10, o3, no2,region
2020/12/1, 31, 14, 14, 10,alpes-cote-dazur
2020/12/2, 30, 14, 17, 8,alpes-cote-dazur
2020/12/3, 29, 10, 19, 10,alpes-cote-dazur
2020/12/4, 21, 5, 22, 5,alpes-cote-dazur
2020/12/5, 8, 5, 19, 4,alpes-cote-dazur
2020/12/6, 20, 12, 21, 10,alpes-cote-dazur
2020/12/7, 25, 13, 19, 12,alpes-cote-dazur
2020/12/8, 26, 12, 13, 9,alpes-cote-dazur
2020/12/9, 22, 12, 11, 10,alpes-cote-dazur
2020/12/10, 20, 7, 16, 8,alpes-cote-dazur
2020/12/11, 11, 11, 15, 8,alpes-cote-dazur
2020/12/12, 27, 6, 15, 3,alpes-cote-dazur
2020/12/13, 13, 10, 17, 8,alpes-cote-dazur
2020/12/14, 18, 14, 8, 10,alpes-cote-dazur
2020/12/15, 27, 11, 16, 9,alpes-cote-dazur
2020/12/16, 23, 25, 8, 14,alpes-cote-dazur
2020/12/17, 36, 9, 9, 4,alpes-cote-dazur
2020/12/18, 20, , , ,alpes-cote-dazur
2020/12/21, 29, 15, 14, 7,alpes-cote-dazur
2020/12/22, 27, 14, 19, 6,alpes-cote-dazur
2020/12/23, 29, 15, 22, 5,alpes-cote-dazur
2020/12/24, 32, 4, 19, 1,alpes-cote-dazur
2020/12/25, 9, , , ,alpes-cote-dazur
2020/11/1, 46, 20, 25, 6,alpes-cote-dazur
2020/11/2, 45, 43, 8, 12,alpes-cote-dazur
2020/11/3, 65, , 23, 9,alpes-cote-dazur
2020/11/4, 40, , 17, 9,alpes-cote-dazur
2020/11/5, 29, , 20, 6,alpes-cote-dazur
2020/11/6, 29, , 23, 5,alpes-cote-dazur
2020/11/7, 37, , 13, 3,alpes-cote-dazur
2020/11/8, 40, , 22, 7,alpes-cote-dazur
2020/11/9, 27, , 18, 7,alpes-cote-dazur
2020/11/10, 40, , 22, 4,alpes-cote-dazur
2020/11/11, 44, , 25, 7,alpes-cote-dazur
2020/11/12, 37, , 27, 6,alpes-cote-dazur
2020/11/13, 37, , 24, 5,alpes-cote-dazur
2020/11/14, 43, , 26, 3,alpes-cote-dazur
2020/11/15, 36, , 20, 9,alpes-cote-dazur
2020/11/16, 44, , 18, 8,alpes-cote-dazur
2020/11/17, 24, , 16, 8,alpes-cote-dazur
2020/11/18, 25, , 28, 9,alpes-cote-dazur
2020/11/19, 28, 20, 20, 13,alpes-cote-dazur
2020/11/20, 32, 18, 20, 5,alpes-cote-dazur
2020/11/21, 29, 17, 21, 4,alpes-cote-dazur
2020/11/22, 31, 21, 18, 10,alpes-cote-dazur
2020/11/23, 42, 20, 24, 9,alpes-cote-dazur
2020/11/24, 42, 18, 23, 8,alpes-cote-dazur
2020/11/25, 38, 23, 23, 8,alpes-cote-dazur
2020/11/26, 35, 18, 28, 7,alpes-cote-dazur
2020/11/27, 33, 9, 28, 4,alpes-cote-dazur
2020/11/28, 21, 13, 22, 5,alpes-cote-dazur
2020/11/29, 30, 20, 12, 12,alpes-cote-dazur
2020/11/30, 39, 13, 18, 8,alpes-cote-dazur
2020/10/1, 18, 25, 36, 5,alpes-cote-dazur
2020/10/2, 30, 18, 29, 1,alpes-cote-dazur
2020/10/3, 14, 8, 21, 3,alpes-cote-dazur
2020/10/4, 14, 12, 18, 5,alpes-cote-dazur
2020/10/5, 13, 13, 22, 6,alpes-cote-dazur
2020/10/6, 15, 14, 27, 6,alpes-cote-dazur
2020/10/7, 15, 14, 30, 5,alpes-cote-dazur
2020/10/8, 16, 16, 33, 7,alpes-cote-dazur
2020/10/9, 24, 13, 34, 4,alpes-cote-dazur
2020/10/10, 31, 10, 22, 3,alpes-cote-dazur
2020/10/11, 23, 7, 25, 5,alpes-cote-dazur
2020/10/12, 10, 10, 29, 6,alpes-cote-dazur
2020/10/13, 18, 11, 29, 5,alpes-cote-dazur
2020/10/14, 16, 6, 29, 5,alpes-cote-dazur
2020/10/15, 11, 9, 29, 5,alpes-cote-dazur
2020/10/16, 14, , 24, 5,alpes-cote-dazur
2020/10/17, 18, , 30, 4,alpes-cote-dazur
2020/10/18, 24, 46, 29, 6,alpes-cote-dazur
2020/10/19, 26, 13, 29, 7,alpes-cote-dazur
2020/10/20, 26, 17, 35, 4,alpes-cote-dazur
2020/10/21, 23, 24, 31, 7,alpes-cote-dazur
2020/10/22, 30, 19, 10, 11,alpes-cote-dazur
2020/10/23, 37, 15, 22, 5,alpes-cote-dazur
2020/10/24, 26, 14, 20, 4,alpes-cote-dazur
2020/10/25, 28, 21, 26, 6,alpes-cote-dazur
2020/10/26, 33, 11, 25, 7,alpes-cote-dazur
2020/10/27, 17, 13, 24, 7,alpes-cote-dazur
2020/10/28, 19, 21, 15, 11,alpes-cote-dazur
2020/10/29, 30, 19, 23, 9,alpes-cote-dazur
2020/10/30, 23, 18, 22, 4,alpes-cote-dazur
2020/10/31, 35, 19, 23, 6,alpes-cote-dazur
2020/9/1, 9, 11, 38, 4,alpes-cote-dazur
2020/9/2, 11, 10, 37, 4,alpes-cote-dazur
2020/9/3, 11, 12, 39, 5,alpes-cote-dazur
2020/9/4, 16, 10, 27, 5,alpes-cote-dazur
2020/9/5, 18, 14, 40, 4,alpes-cote-dazur
2020/9/6, 21, 18, 38, 6,alpes-cote-dazur
2020/9/7, 23, 17, 38, 5,alpes-cote-dazur
2020/9/8, 15, 17, 43, 4,alpes-cote-dazur
2020/9/9, 21, 22, 33, 8,alpes-cote-dazur
2020/9/10, 29, 18, 18, 11,alpes-cote-dazur
2020/9/11, 21, 14, 36, 4,alpes-cote-dazur
2020/9/12, 20, 20, 37, 6,alpes-cote-dazur
2020/9/13, 36, 24, 39, 6,alpes-cote-dazur
2020/9/14, 40, 24, 45, 5,alpes-cote-dazur
2020/9/15, 43, 25, 46, 4,alpes-cote-dazur
2020/9/16, 48, 22, 45, 4,alpes-cote-dazur
2020/9/17, 37, 24, 47, 6,alpes-cote-dazur
2020/9/18, 38, 21, 48, 3,alpes-cote-dazur
2020/9/19, 39, 19, 31, 6,alpes-cote-dazur
2020/9/20, 41, 15, 31, 8,alpes-cote-dazur
2020/9/21, 25, 12, 10, 9,alpes-cote-dazur
2020/9/22, 13, 11, 30, 5,alpes-cote-dazur
2020/9/23, 9, 13, 24, 8,alpes-cote-dazur
2020/9/24, 11, 12, 29, 1,alpes-cote-dazur
2020/9/25, 8, 6, 29, 3,alpes-cote-dazur
2020/9/26, 5, 8, 33, 1,alpes-cote-dazur
2020/9/27, 6, 6, 29, 4,alpes-cote-dazur
